date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:12:09	53855/53855	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:11:46%20GMT	http://event-theme.com/themes/gocourierwp/product/flying-ninja/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product/flying-ninja/index.html	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:12:10	21026/21026	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202017%2007:33:23%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/T_4_front1-1-600x600.jpg	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/T_4_front1-1-600x600.jpg	(from http://event-theme.com/themes/gocourierwp/product/premium-quality-2/)
00:12:14	2204/2204	---MC-	200	added ('OK')	application/rss+xml	etag:%222ad86fd320ed9808c3edae24bff61db8%22	http://event-theme.com/themes/gocourierwp/product/premium-quality-2/feed/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product/premium-quality-2/feed/index.html	(from http://event-theme.com/themes/gocourierwp/product/premium-quality-2/)
00:12:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Nov%202018%2011:12:12%20GMT	http://event-theme.com/themes/gocourierwp/?p=146	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/indexf488.html	(from http://event-theme.com/themes/gocourierwp/product/premium-quality-2/)
00:13:13	49625/49625	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:11:50%20GMT	http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/?add-to-cart=145	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product/woo-ninja-3/indexda5b.html	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:13:38	49628/49628	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:12:00%20GMT	http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/?add-to-cart=146	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product/woo-ninja-3/index3e8c.html	(from http://event-theme.com/themes/gocourierwp/product/woo-ninja-3/)
00:14:02	51393/51393	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:12:17%20GMT	http://event-theme.com/themes/gocourierwp/product/premium-quality-2/?add-to-cart=145	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product/premium-quality-2/indexda5b.html	(from http://event-theme.com/themes/gocourierwp/product/premium-quality-2/)
00:14:09	51389/51389	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:12:15%20GMT	http://event-theme.com/themes/gocourierwp/product/premium-quality-2/?add-to-cart=152	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product/premium-quality-2/index4178.html	(from http://event-theme.com/themes/gocourierwp/product/premium-quality-2/)
00:15:13	51390/51390	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:13:15%20GMT	http://event-theme.com/themes/gocourierwp/product/premium-quality-2/?add-to-cart=147	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product/premium-quality-2/indexd223.html	(from http://event-theme.com/themes/gocourierwp/product/premium-quality-2/)
00:15:24	40457/40457	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:14:06%20GMT	http://event-theme.com/themes/gocourierwp/2017/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/2017/index.html	(from http://event-theme.com/themes/gocourierwp/2017/02/)
00:15:25	44269/44269	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:14:12%20GMT	http://event-theme.com/themes/gocourierwp/2016/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/2016/index.html	(from http://event-theme.com/themes/gocourierwp/2016/05/)
00:15:27	51395/51395	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:13:41%20GMT	http://event-theme.com/themes/gocourierwp/product/premium-quality-2/?add-to-cart=144	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product/premium-quality-2/indexc989.html	(from http://event-theme.com/themes/gocourierwp/product/premium-quality-2/)
00:15:28	107242/107242	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2012%20Nov%202018%2011:15:26%20GMT	http://event-theme.com/themes/gocourierwp/wp-admin/load-scripts.php?c=0&load%5B%5D=jquery-core,jquery-migrate&ver=4.9.8	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-admin/load-scripts1e37.php	(from http://event-theme.com/themes/gocourierwp/wp-login.php)
00:15:29	0/0	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202017%2015:18:32%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/admin/assets/css/custom_admin_style.css?ver=4.9.8	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/themes/gocourier/admin/assets/css/custom_admin_style5010.css	(from http://event-theme.com/themes/gocourierwp/wp-login.php)
00:15:30	104364/104364	---MCZ	200	added ('OK')	text/css	date:Mon,%2012%20Nov%202018%2011:15:28%20GMT	http://event-theme.com/themes/gocourierwp/wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.9.8	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-admin/load-styles6c4d.css	(from http://event-theme.com/themes/gocourierwp/wp-login.php)
00:15:31	10618/10618	---MC-	200	added ('OK')	application/rss+xml	etag:%22be3cb802e9120f096c9520f2a1ae179b%22	http://event-theme.com/themes/gocourierwp/category/uncategorized/feed/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/category/uncategorized/feed/index.html	(from http://event-theme.com/themes/gocourierwp/category/uncategorized/)
00:15:33	1340/1340	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Feb%202017%2007:12:50%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/plugins/gocourier-shortcodes/assets/images/swiper/default.png	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/plugins/gocourier-shortcodes/assets/images/swiper/default.png	(from http://event-theme.com/themes/gocourierwp/wp-content/plugins/gocourier-shortcodes/assets/css/galleries-shortcodes.css?ver=1.0)
00:15:49	98553/98553	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202017%2007:32:53%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/cd_1_angle-1.jpg	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/cd_1_angle-1.jpg	(from http://event-theme.com/themes/gocourierwp/shop/)
00:15:52	10598/10598	---MC-	200	added ('OK')	application/rss+xml	etag:%22be3cb802e9120f096c9520f2a1ae179b%22	http://event-theme.com/themes/gocourierwp/author/cpadmin/feed/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/author/cpadmin/feed/index.html	(from http://event-theme.com/themes/gocourierwp/author/cpadmin/)
00:16:00	96051/96051	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202017%2007:33:32%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/hoodie_1_back-1.jpg	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/hoodie_1_back-1.jpg	(from http://event-theme.com/themes/gocourierwp/shop/)
00:16:07	13452/13452	---MC-	200	added ('OK')	application/rss+xml	etag:%22be3cb802e9120f096c9520f2a1ae179b%22	http://event-theme.com/themes/gocourierwp/shop/feed/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/shop/feed/index.html	(from http://event-theme.com/themes/gocourierwp/shop/)
00:16:10	32128/32128	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Feb%202017%2007:32:59%20GMT	http://event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/Poster_5_flat-1.jpg	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-content/uploads/2013/06/Poster_5_flat-1.jpg	(from http://event-theme.com/themes/gocourierwp/shop/)
00:16:49	51240/51240	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:15:51%20GMT	http://event-theme.com/themes/gocourierwp/product/happy-ninja/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/product/happy-ninja/index.html	(from http://event-theme.com/themes/gocourierwp/shop/)
